category,amt,city_pop,fraud,trans_month,trans_quarter,Cust_age,city_pop_category,avg_amount_by_category,gender_F,gender_M,trans_year_2019,trans_year_2020
13,113.23,1,0,12,4,27,0,118.082498,0,1,0,1
8,73.46,7103,0,4,2,51,1,64.332038,1,0,1,0
13,62.42,1,0,7,3,46,0,65.392308,0,1,1,0
0,83.23,1,0,6,2,43,0,57.003592,0,1,0,1
8,8.38,6858,0,9,3,43,1,46.870058,1,0,0,1
6,29.48,1349986,0,12,4,39,2,54.0388,1,0,0,1
3,145.32,1,0,7,3,77,0,116.425048,0,1,0,1
4,1.23,22845,0,10,4,63,1,46.579677,0,1,1,0
7,126.26,26076,0,8,3,49,1,56.961599,0,1,1,0
8,25.69,6386,0,11,4,57,1,56.921007,0,1,1,0
2,120.73,126761,0,5,2,38,2,57.328106,0,1,1,0
8,134.59,19076,0,5,2,31,1,63.770118,0,1,0,1
12,87.37,1,0,6,2,51,0,118.440499,0,1,0,1
0,7.88,27991,0,12,4,49,1,51.375752,1,0,0,1
12,135.97,47266,0,8,3,26,1,67.217699,0,1,0,1
8,80.0,65357,0,2,1,29,2,117.193919,0,1,1,0
4,13.01,1,0,1,1,26,0,53.77377,1,0,0,1
10,58.43,1959,0,7,3,31,0,47.992621,0,1,1,0
8,58.83,10302,0,10,4,43,1,57.825082,0,1,1,0
10,0.01,1602694,0,6,2,43,2,63.109745,1,0,1,0
1,83.2,24003,0,7,3,31,1,65.989676,1,0,0,1
0,7.37,492633,0,10,4,39,2,78.249454,1,0,0,1
8,0.01,273018,0,7,3,40,2,49.049941,1,0,0,1
4,0.01,1,0,11,4,73,0,81.362608,1,0,0,1
3,108.51,1,0,8,3,34,0,115.039977,1,0,1,0
5,71.49,1,0,9,3,29,0,52.08251,1,0,1,0
10,7.86,158979,0,10,4,37,2,65.728415,1,0,0,1
2,97.13,4881,0,8,3,56,0,62.361171,1,0,1,0
13,9.16,23481,0,1,1,59,1,64.149624,0,1,0,1
5,7.25,1638380,0,6,2,23,2,86.33113,1,0,1,0
2,53.22,10793,0,2,1,34,1,52.575673,0,1,1,0
0,44.03,22674,0,7,3,24,1,64.717447,1,0,1,0
12,7.97,82703,0,2,1,35,2,63.583829,0,1,1,0
1,1.03,1845,0,7,3,50,0,109.877039,0,1,0,1
5,0.01,7861,0,5,2,47,1,88.74876,0,1,0,1
9,59.85,6814,0,1,1,27,1,50.483246,1,0,0,1
7,0.01,30412,0,2,1,21,1,50.547051,0,1,0,1
3,9.94,1,0,7,3,23,0,63.485808,1,0,1,0
1,214.19,1,0,1,1,42,0,115.546261,1,0,1,0
9,234.91,70926,0,11,4,31,2,57.039302,0,1,1,0
6,57.29,388811,0,10,4,42,2,53.930651,1,0,0,1
0,55.69,1,0,9,3,59,0,59.357942,1,0,1,0
2,79.58,1,0,3,1,48,0,64.952592,0,1,1,0
7,38.53,413703,0,10,4,50,2,56.685345,1,0,0,1
2,0.5,530479,0,8,3,24,2,52.28865,0,1,0,1
5,10.21,2840,0,5,2,36,0,57.189225,1,0,0,1
1,0.01,1,0,1,1,46,0,90.72355,1,0,1,0
11,385.33,22663,0,7,3,44,1,87.062775,1,0,0,1
8,40.6,24186,0,10,4,50,1,80.937914,1,0,0,1
10,0.01,9787,0,1,1,73,1,87.65306,1,0,1,0
0,60.32,1610556,0,1,1,22,2,59.99776,1,0,0,1
5,38.64,21234,0,5,2,22,1,64.891993,1,0,0,1
3,293.07,25961,0,7,3,28,1,61.314877,1,0,1,0
8,24.86,10068,0,6,2,61,1,110.602477,1,0,1,0
11,208.67,9311,0,6,2,45,1,52.095474,0,1,1,0
3,66.49,141933,0,4,2,39,2,55.041957,0,1,0,1
10,43.15,1,0,1,1,32,0,58.07156,0,1,1,0
8,54.93,11445,0,1,1,37,1,51.184574,0,1,0,1
11,39.21,1,0,2,1,18,0,64.359188,1,0,0,1
1,141.46,308375,0,9,3,43,2,64.323676,1,0,1,0
13,50.71,20899,0,10,4,68,1,46.387759,0,1,0,1
6,0.01,922884,0,6,2,31,2,80.100221,1,0,0,1
3,75.55,48006,0,1,1,50,1,57.79865,0,1,0,1
2,40.66,753412,0,5,2,40,2,65.663929,1,0,1,0
13,0.01,29478,0,12,4,76,1,66.15925,1,0,1,0
12,83.96,100751,0,3,1,68,2,117.94713,0,1,0,1
1,121.33,2411,0,6,2,77,0,117.338351,0,1,1,0
6,75.06,2392,0,7,3,45,0,117.909143,0,1,1,0
10,62.42,17656,0,4,2,52,1,50.304734,1,0,0,1
8,76.5,1,0,6,2,41,0,47.798,1,0,1,0
2,99.03,8208,0,6,2,32,1,56.488615,0,1,0,1
5,9.95,1,0,6,2,65,0,62.616283,1,0,1,0
5,0.01,6963,0,9,3,52,1,111.660877,0,1,1,0
4,82.29,2573,0,7,3,48,0,62.800877,1,0,1,0
13,3520.9,1,0,1,1,41,0,112.098817,0,1,1,0
2,100.88,1,0,1,1,37,0,64.096697,0,1,1,0
9,70.28,1,0,5,2,45,0,57.807956,1,0,1,0
12,121.45,1,0,11,4,62,0,117.671442,0,1,1,0
11,34.59,27120,0,1,1,57,1,58.106229,1,0,0,1
11,21.2,1,0,1,1,78,0,63.931936,1,0,0,1
2,21.64,1,0,9,3,66,0,56.6098,0,1,1,0
1,5.58,1,0,6,2,24,0,54.589747,0,1,1,0
10,23.65,1,0,3,1,51,0,51.956013,1,0,1,0
10,0.01,1308934,0,3,1,20,2,80.277439,1,0,1,0
10,15.47,228206,0,8,3,25,2,88.529077,1,0,0,1
5,116.57,21266,0,7,3,40,1,63.389429,0,1,0,1
7,472.9,1,0,8,3,45,0,110.597198,0,1,1,0
0,35.12,20416,0,4,2,30,1,56.1166,0,1,0,1
4,268.21,2591,0,7,3,49,0,90.030429,1,0,0,1
7,105.76,1135,0,11,4,51,0,58.825857,1,0,1,0
1,91.94,1,0,4,2,43,0,64.085964,1,0,0,1
1,131.95,181,0,5,2,47,0,119.422168,1,0,1,0
0,11.83,29150,0,2,1,44,1,111.014308,1,0,0,1
2,150.5,682093,0,8,3,52,2,54.878895,0,1,0,1
13,0.01,1,0,1,1,53,0,110.96696,1,0,1,0
9,107.95,1,0,3,1,64,0,81.421284,1,0,0,1
13,0.01,1241584,0,9,3,31,2,87.973019,0,1,0,1
3,0.01,10572,0,1,1,19,1,54.592987,0,1,1,0
8,20.37,10947,0,12,4,43,1,59.19247,0,1,1,0
12,36.46,1,0,5,2,43,0,58.018131,1,0,0,1
4,21.81,16359,0,5,2,51,1,83.303041,1,0,1,0
9,53.41,15662,0,7,3,32,1,63.717059,0,1,1,0
9,6.65,3361,0,8,3,51,0,81.440196,0,1,0,1
11,0.01,856303,0,6,2,55,2,110.12415,1,0,1,0
13,29.73,6058,0,11,4,53,1,63.938871,0,1,0,1
8,153.71,10897,0,12,4,24,1,47.821751,1,0,0,1
8,43.21,44495,0,3,1,42,1,116.230798,1,0,0,1
12,67.48,2696,0,9,3,40,0,62.46098,1,0,0,1
9,98.74,706,0,4,2,38,0,120.287363,0,1,0,1
5,92.32,25360,0,12,4,55,1,63.095432,1,0,0,1
8,84.94,1,0,4,2,72,0,115.181106,0,1,0,1
7,114.8,1,0,4,2,31,0,78.43138,1,0,1,0
3,47.58,215723,0,9,3,53,2,63.357513,1,0,0,1
7,83.45,1,0,10,4,42,0,54.416186,0,1,1,0
8,45.96,2042,0,2,1,47,0,63.25759,0,1,0,1
12,0.01,1,0,7,3,41,0,89.301781,1,0,1,0
8,17.89,1,0,5,2,47,0,53.334975,1,0,1,0
2,73.31,80965,0,8,3,35,2,57.928906,1,0,1,0
13,84.89,92018,0,7,3,33,2,115.89957,1,0,0,1
8,18.22,28443,0,12,4,59,1,50.362995,1,0,1,0
4,122.67,1,0,12,4,18,0,57.024035,0,1,1,0
10,11.57,1,0,8,3,79,0,46.517762,1,0,0,1
5,55.03,1,0,9,3,31,0,64.737458,0,1,0,1
5,37.48,1,0,11,4,33,0,54.984155,0,1,0,1
11,69.89,68021,0,3,1,66,2,52.33724,0,1,1,0
12,80.02,1,0,9,3,45,0,58.207639,0,1,0,1
7,17.71,1586,0,10,4,32,0,55.093232,0,1,0,1
5,104.53,1,0,2,1,41,0,55.329578,1,0,1,0
12,29.3,1,0,11,4,35,0,89.532403,1,0,0,1
2,77.66,976102,0,9,3,22,2,57.726918,0,1,1,0
10,98.3,6322,0,5,2,47,1,117.758624,1,0,1,0
8,71.92,7770,0,6,2,36,1,64.630669,0,1,0,1
11,101.46,39688,0,6,2,36,1,79.884925,0,1,1,0
5,4.98,14019,0,12,4,90,1,52.2798,0,1,1,0
11,104.23,160687,0,12,4,36,2,56.627226,1,0,1,0
0,133.8,10656,0,10,4,90,1,117.681707,1,0,0,1
10,12.13,23,0,8,3,72,0,80.148385,1,0,1,0
0,53.66,1,0,2,1,93,0,46.295698,1,0,1,0
8,165.75,1676,0,11,4,40,0,56.945637,1,0,0,1
2,116.64,6991,0,2,1,45,1,78.400443,1,0,0,1
13,0.01,9812,0,3,1,29,1,62.129543,1,0,1,0
10,29.91,1,0,1,1,45,0,86.780448,0,1,0,1
1,252.69,24351,0,12,4,58,1,49.370611,0,1,1,0
12,16.18,17103,0,6,2,65,1,56.491454,0,1,0,1
3,0.01,1,0,3,1,47,0,58.265693,1,0,0,1
7,144.79,13506,0,1,1,18,1,61.111334,1,0,0,1
1,65.85,30673,0,5,2,34,1,88.321753,0,1,1,0
1,66.17,30046,0,9,3,35,1,118.292214,1,0,0,1
3,85.88,1,0,12,4,52,0,61.811305,1,0,0,1
7,49.92,1,0,7,3,46,0,50.87402,0,1,1,0
7,31.22,24184,0,8,3,33,1,49.254884,0,1,1,0
11,5.91,55293,0,11,4,25,2,78.777613,0,1,0,1
2,36.68,1,0,11,4,32,0,61.861952,1,0,1,0
10,95.33,11720,0,4,2,89,1,55.571471,1,0,0,1
0,466.82,7009,0,12,4,37,1,110.869661,1,0,1,0
4,14.72,1055,0,7,3,23,0,55.498502,0,1,0,1
2,64.18,1,0,12,4,30,0,117.513568,1,0,0,1
1,22.94,1,0,2,1,43,0,47.563495,1,0,1,0
8,0.01,1302124,0,2,1,38,2,111.841619,1,0,1,0
12,71.08,1,0,11,4,83,0,117.37936,1,0,1,0
9,78.09,34896,0,9,3,41,1,118.245626,1,0,0,1
11,34.92,13340,0,3,1,27,1,50.451173,0,1,0,1
8,21.14,700718,0,11,4,46,2,111.29932,0,1,1,0
0,0.01,4935,0,2,1,34,0,58.082938,0,1,0,1
4,27.15,3650,0,9,3,41,0,59.029878,1,0,0,1
11,112.08,1,0,3,1,59,0,115.715145,0,1,1,0
0,65.77,1,0,1,1,39,0,59.416771,0,1,0,1
1,152.09,1,0,10,4,68,0,58.735753,1,0,1,0
11,71.96,498267,0,11,4,27,2,52.111376,0,1,0,1
0,22.05,2470597,0,2,1,20,2,112.742685,1,0,1,0
13,124.1,1,0,2,1,29,0,82.057939,0,1,1,0
10,35.43,1546290,0,8,3,33,2,59.398043,1,0,1,0
9,74.8,1,0,1,1,46,0,65.925506,1,0,1,0
7,79.51,1332485,0,9,3,20,2,48.093093,1,0,1,0
1,240.07,385139,0,11,4,42,2,49.074466,0,1,0,1
5,18.01,58425,0,10,4,49,2,55.87829,1,0,1,0
11,6.67,1,0,3,1,43,0,48.302984,0,1,0,1
12,23.72,8837,0,3,1,20,1,53.007958,1,0,1,0
6,39.31,11374,0,9,3,36,1,87.333865,0,1,1,0
11,31.78,19537,0,1,1,41,1,111.170756,1,0,0,1
10,0.01,14103,0,7,3,46,1,89.226303,1,0,1,0
0,88.36,18659,0,6,2,41,1,56.362311,1,0,1,0
8,30.87,485476,0,9,3,38,2,62.01629,1,0,0,1
8,0.55,1,0,3,1,31,0,81.162252,1,0,1,0
7,11.87,1,0,10,4,66,0,46.65764,1,0,0,1
10,60.36,7071,0,9,3,41,1,58.583547,0,1,1,0
12,44.14,8408,0,3,1,35,1,57.559524,1,0,0,1
7,50.39,1,0,5,2,40,0,54.415106,1,0,1,0
4,18.72,12154,0,1,1,55,1,52.48647,1,0,1,0
13,131.15,17813,0,6,2,55,1,117.899827,0,1,0,1
13,66.06,23206,0,4,2,51,1,118.107451,1,0,0,1
9,44.81,25967,0,2,1,78,1,61.997049,0,1,0,1
8,44.3,26198,0,7,3,21,1,64.798616,1,0,1,0
1,3.05,1,0,7,3,27,0,80.051098,0,1,1,0
5,0.01,27795,0,2,1,75,1,81.426661,1,0,0,1
2,87.51,1,0,3,1,64,0,117.30243,1,0,1,0
7,56.91,32022,0,1,1,41,1,79.894888,0,1,1,0
11,3.85,14453,0,9,3,58,1,54.549244,1,0,1,0
3,101.19,453673,0,5,2,58,2,50.085755,1,0,0,1
13,54.74,1,0,1,1,30,0,52.070634,0,1,1,0
1,132.84,1,0,3,1,46,0,118.061925,1,0,1,0
1,23.95,1,0,12,4,44,0,58.38885,0,1,1,0
13,82.73,16811,0,4,2,65,1,59.580517,1,0,1,0
1,32.29,55883,0,9,3,32,2,57.45254,1,0,1,0
10,77.79,1,0,6,2,24,0,55.770018,1,0,1,0
10,107.76,418151,0,3,1,49,2,58.702731,1,0,1,0
4,78.41,1252325,0,4,2,67,2,63.702615,1,0,1,0
0,87.03,1,0,1,1,34,0,54.555485,0,1,0,1
4,50.0,12538,0,9,3,92,1,62.62054,0,1,0,1
0,46.06,1382,0,5,2,72,0,65.454891,1,0,1,0
9,212.71,297082,0,6,2,48,2,63.076576,0,1,1,0
12,0.01,1,0,2,1,46,0,62.154123,0,1,1,0
13,2.22,119544,0,10,4,67,2,48.120398,0,1,1,0
11,6.12,2083,0,3,1,30,0,79.754908,1,0,1,0
10,9.76,87893,0,7,3,44,2,48.396282,0,1,0,1
12,99.74,1,0,11,4,59,0,118.976583,1,0,1,0
10,13.47,772,0,9,3,34,0,87.858391,0,1,0,1
9,22.87,231966,0,8,3,53,2,79.783605,0,1,1,0
13,168.6,1,0,11,4,48,0,113.58266,1,0,1,0
4,11.94,14544,0,3,1,70,1,79.246764,1,0,1,0
5,8.99,10335,0,12,4,58,1,57.120707,1,0,1,0
12,103.69,10331,0,7,3,32,1,46.975228,0,1,1,0
4,0.01,26522,0,5,2,21,1,89.802464,0,1,1,0
4,74.54,23615,0,4,2,42,1,63.757189,1,0,1,0
2,51.04,1,0,9,3,34,0,53.520595,1,0,0,1
3,110.71,41094,0,12,4,34,1,62.954794,1,0,0,1
8,27.69,1,0,9,3,22,0,51.761876,1,0,1,0
12,12.94,882,0,1,1,44,0,79.70568,0,1,0,1
1,43.77,985,0,6,2,40,0,54.92873,1,0,1,0
9,0.01,153273,0,9,3,24,2,85.855478,1,0,1,0
10,57.47,23641,0,5,2,28,1,57.211272,0,1,1,0
12,84.23,1,0,10,4,49,0,47.493153,1,0,1,0
10,10.09,18520,0,9,3,69,1,83.262107,0,1,0,1
2,84.84,1,0,1,1,29,0,117.933618,0,1,0,1
6,13.26,1,0,7,3,30,0,78.605825,1,0,0,1
13,7.78,12433,0,3,1,77,1,64.184808,0,1,0,1
12,0.01,3787,0,6,2,20,0,87.549136,0,1,0,1
8,73.92,1245160,0,5,2,60,2,59.407029,0,1,1,0
13,20.5,1,0,10,4,49,0,79.425071,1,0,1,0
9,6.0,189826,0,11,4,61,2,82.43303,1,0,1,0
0,115.75,30701,0,6,2,69,1,116.480754,1,0,0,1
12,3.25,12701,0,7,3,56,1,52.860501,1,0,1,0
2,144.89,6628,0,8,3,29,1,57.23931,1,0,0,1
5,24.44,1,0,8,3,44,0,48.330517,0,1,0,1
3,37.86,1,0,8,3,47,0,57.547135,0,1,1,0
10,5.89,1,0,10,4,60,0,64.845779,1,0,1,0
0,19.09,4251,0,12,4,43,0,47.266488,1,0,0,1
8,68.41,15423,0,10,4,24,1,117.750292,1,0,1,0
12,68.0,4394,0,2,1,42,0,117.529963,1,0,1,0
11,1.34,1,0,6,2,55,0,79.219563,0,1,1,0
4,1.47,1,0,6,2,49,0,53.586628,1,0,0,1
12,98.14,1,0,7,3,58,0,58.346437,1,0,1,0
5,117.57,379720,0,7,3,42,2,64.10182,0,1,0,1
9,0.01,3775,0,9,3,31,0,81.844853,1,0,1,0
7,107.83,12999,0,6,2,45,1,55.294345,1,0,0,1
0,52.63,11640,0,4,2,48,1,49.194572,1,0,0,1
0,76.55,17328,0,6,2,35,1,57.559829,0,1,1,0
2,19.56,456202,0,11,4,39,2,64.798788,1,0,0,1
13,0.01,1,0,4,2,48,0,51.728729,0,1,1,0
13,19.84,23366,0,1,1,64,1,63.442137,0,1,1,0
5,9.03,1,0,12,4,73,0,78.047064,1,0,0,1
13,177.78,1,0,3,1,84,0,50.580345,0,1,1,0
0,19.71,1,0,8,3,40,0,61.945434,0,1,0,1
13,14.46,14470,0,10,4,75,1,54.933451,1,0,0,1
3,61.59,1,0,4,2,88,0,57.292453,0,1,1,0
0,30.67,11855,0,5,2,73,1,48.158459,1,0,1,0
10,157.19,9718,0,4,2,90,1,118.327959,1,0,0,1
5,39.3,30124,0,2,1,73,1,58.575371,0,1,1,0
4,40.25,1592721,0,2,1,43,2,116.783033,1,0,1,0
10,110.12,42138,0,3,1,34,1,53.30389,1,0,1,0
4,95.74,1,0,6,2,93,0,64.825348,1,0,1,0
10,138.54,19015,0,7,3,25,1,82.062786,1,0,0,1
2,67.91,1,0,1,1,25,0,55.521316,0,1,1,0
1,19.98,85825,0,11,4,32,2,78.907614,0,1,0,1
4,17.31,9,0,9,3,43,0,62.776144,1,0,0,1
8,89.13,1,0,1,1,44,0,48.950733,0,1,0,1
3,82.81,497274,0,11,4,38,2,118.108616,1,0,0,1
2,122.76,86150,0,1,1,44,2,48.338632,1,0,0,1
10,167.42,6165,0,7,3,43,1,81.82948,0,1,1,0
6,38.69,817626,0,6,2,57,2,57.587186,0,1,1,0
6,13.5,1,0,7,3,74,0,47.154119,1,0,0,1
3,13.05,11424,0,12,4,56,1,57.184744,1,0,1,0
0,37.11,1,0,12,4,79,0,64.184161,0,1,0,1
0,47.56,1,0,4,2,30,0,58.116128,0,1,1,0
9,1.98,13471,0,7,3,73,1,45.655515,1,0,0,1
1,71.02,17516,0,12,4,58,1,53.248502,0,1,0,1
3,9.95,10443,0,9,3,18,1,48.057023,0,1,1,0
12,107.88,46315,0,11,4,28,1,57.159878,0,1,0,1
4,105.47,7375,0,6,2,18,1,53.82725,1,0,1,0
10,109.28,11477,0,4,2,25,1,117.586569,0,1,1,0
4,82.62,59499,0,7,3,48,2,46.653103,0,1,0,1
13,71.57,1,0,10,4,33,0,51.7266,0,1,0,1
11,4.83,1,0,12,4,87,0,50.698742,1,0,0,1
6,149.9,7663,0,9,3,68,1,52.074366,1,0,1,0
9,90.95,11815,0,9,3,25,1,56.219603,0,1,1,0
5,68.07,1,0,7,3,35,0,64.388592,1,0,1,0
13,25.98,4828,0,4,2,21,0,49.313458,0,1,0,1
5,15.56,35083,0,6,2,27,1,47.700128,0,1,1,0
11,175.38,10829,0,6,2,27,1,79.612304,1,0,0,1
8,17.68,1,0,10,4,72,0,81.325308,0,1,0,1
9,0.01,14091,0,7,3,65,1,48.654498,0,1,1,0
4,21.74,1,0,10,4,35,0,87.330807,1,0,0,1
11,33.12,1,0,1,1,31,0,58.239337,0,1,1,0
10,32.39,17397,0,10,4,18,1,54.652347,0,1,1,0
11,0.01,1,0,7,3,18,0,89.486127,1,0,1,0
11,64.18,5593,0,12,4,51,1,62.424812,0,1,0,1
2,65.43,32093,0,6,2,42,1,53.313217,1,0,0,1
12,180.33,8997,0,6,2,35,1,47.785379,1,0,0,1
11,71.71,1,0,2,1,53,0,62.652693,0,1,0,1
3,67.1,1,0,10,4,45,0,116.334469,1,0,0,1
13,0.01,1,0,9,3,58,0,62.899695,1,0,0,1
7,147.55,3305,0,11,4,43,0,58.36384,1,0,0,1
4,104.24,1,0,2,1,44,0,116.913851,0,1,1,0
3,215.56,64379,0,3,1,34,2,114.188945,1,0,1,0
5,72.95,1,0,11,4,38,0,54.006623,0,1,0,1
0,8.37,14193,0,1,1,64,1,56.359753,1,0,0,1
9,38.1,41494,0,7,3,39,1,54.733189,1,0,0,1
9,79.91,5983,0,5,2,54,1,55.922526,1,0,0,1
9,12.79,1,0,12,4,42,0,54.169621,1,0,0,1
7,127.08,21830,0,11,4,43,1,78.944706,1,0,0,1
5,58.58,19545,0,11,4,50,1,63.796153,0,1,0,1
10,83.6,16036,0,4,2,28,1,53.894312,1,0,1,0
12,172.83,1,0,8,3,41,0,116.667466,0,1,0,1
1,103.01,135941,0,9,3,26,2,52.232516,0,1,0,1
5,87.06,7947,0,12,4,44,1,61.594343,0,1,0,1
13,145.12,1,0,1,1,48,0,57.436892,1,0,0,1
12,8.55,5559,0,12,4,46,1,79.284669,0,1,1,0
13,100.08,40965,0,5,2,33,1,56.755609,0,1,1,0
2,28.04,10174,0,2,1,45,1,58.932253,0,1,0,1
6,0.01,142337,0,8,3,62,2,57.162536,0,1,0,1
1,56.42,7447,0,10,4,54,1,46.794024,1,0,1,0
12,85.32,24645,0,2,1,50,1,50.785406,0,1,1,0
7,24.27,24574,0,1,1,51,1,64.440007,1,0,0,1
3,24.21,1,0,11,4,19,0,79.696713,0,1,1,0
1,24.89,26703,0,12,4,46,1,65.744387,0,1,0,1
10,64.32,1,0,2,1,90,0,62.594012,0,1,1,0
11,10.74,1,0,11,4,29,0,57.416989,1,0,1,0
12,42.1,1798,0,11,4,57,0,63.948301,1,0,0,1
13,131.11,22695,0,12,4,33,1,58.130049,0,1,0,1
11,30.47,1,0,3,1,53,0,57.539875,0,1,0,1
11,94.43,7389,0,7,3,74,1,55.59181,1,0,0,1
11,53.1,1,0,12,4,33,0,61.939664,1,0,1,0
13,26.42,1,0,11,4,42,0,62.093381,1,0,0,1
6,76.62,25267,0,8,3,32,1,51.6047,0,1,0,1
10,0.01,1,0,3,1,48,0,78.310849,1,0,0,1
11,40.41,277718,0,2,1,48,2,61.276444,1,0,1,0
1,14.62,1,0,4,2,58,0,58.88102,0,1,0,1
9,80.98,29332,0,1,1,29,1,64.904077,1,0,1,0
4,14.38,14895,0,3,1,41,1,46.869631,0,1,0,1
1,97.53,1,0,1,1,91,0,80.783832,1,0,0,1
2,35.57,9467,0,10,4,47,1,55.20967,0,1,1,0
1,60.0,1,0,8,3,23,0,80.494293,0,1,0,1
12,49.5,18455,0,7,3,30,1,54.233535,0,1,0,1
10,22.25,249371,0,10,4,69,2,55.152758,1,0,0,1
1,104.32,31060,0,5,2,23,1,62.539424,1,0,0,1
8,4.53,486353,0,5,2,39,2,65.461561,1,0,0,1
9,50.55,1,0,3,1,63,0,61.546748,0,1,1,0
7,49.92,11111,0,6,2,51,1,61.878278,1,0,0,1
8,56.52,4481,0,3,1,64,0,64.298969,1,0,0,1
12,29.61,14455,0,8,3,27,1,59.574634,1,0,1,0
7,43.85,86821,0,12,4,25,2,58.118119,0,1,1,0
9,65.36,16112,0,7,3,25,1,58.109124,0,1,1,0
7,62.57,1,0,4,2,24,0,54.792956,0,1,0,1
5,0.01,34171,0,9,3,25,1,78.604397,0,1,1,0
12,37.41,1,0,10,4,44,0,63.581338,0,1,0,1
5,11.65,20253,0,6,2,67,1,62.128606,1,0,0,1
11,345.9,25455,0,4,2,42,1,87.097325,1,0,1,0
8,40.76,1,0,9,3,55,0,51.210391,1,0,0,1
9,134.81,84281,0,3,1,35,2,57.650254,1,0,0,1
10,64.66,16458,0,12,4,48,1,64.589302,1,0,0,1
10,7.67,15185,0,4,2,60,1,81.274615,1,0,0,1
7,25.89,3457,0,5,2,54,0,64.090667,1,0,1,0
8,50.67,2827,0,9,3,41,0,58.168905,1,0,1,0
7,0.01,102375,0,1,1,46,2,79.152268,0,1,1,0
4,17.88,22103,0,3,1,43,1,63.887737,0,1,1,0
10,746.3,25904,0,2,1,54,1,79.895578,0,1,0,1
12,123.58,6432,0,5,2,37,1,54.610129,1,0,1,0
9,7.86,377573,0,7,3,26,2,88.929076,1,0,0,1
10,18.97,14905,0,3,1,23,1,57.978857,0,1,0,1
11,259.25,204141,0,5,2,46,2,58.15728,0,1,1,0
5,75.37,10060,0,10,4,19,1,81.61647,1,0,0,1
0,72.95,11375,0,12,4,76,1,58.488003,1,0,1,0
4,89.81,1,0,1,1,39,0,114.997979,1,0,0,1
10,56.94,91467,1,8,3,46,2,59.894769,0,1,1,0
11,44.39,6248,0,1,1,24,1,62.149836,1,0,1,0
7,0.01,67252,0,7,3,58,2,81.238196,0,1,1,0
10,25.19,90716,0,11,4,31,2,62.578547,1,0,0,1
1,25.84,1,0,10,4,49,0,58.809802,0,1,1,0
9,37.85,1,0,3,1,24,0,57.353427,0,1,0,1
